timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/05/31 21:26:27.778, 29 %, 19 %, [N/A], 0
2025/05/31 21:26:32.804, 11 %, 2 %, [N/A], 0
2025/05/31 21:26:37.943, 19 %, 5 %, [N/A], 0
2025/05/31 21:26:42.962, 22 %, 6 %, [N/A], 0
2025/05/31 21:26:48.079, 21 %, 5 %, [N/A], 0
2025/05/31 21:26:53.200, 16 %, 4 %, [N/A], 0
2025/05/31 21:26:58.307, 19 %, 4 %, [N/A], 0
2025/05/31 21:27:03.955, 21 %, 5 %, [N/A], 0
2025/05/31 21:27:09.147, 26 %, 5 %, [N/A], 0
2025/05/31 21:27:14.865, 14 %, 3 %, [N/A], 0
2025/05/31 21:27:20.061, 19 %, 4 %, [N/A], 0
2025/05/31 21:27:25.316, 20 %, 5 %, [N/A], 0
2025/05/31 21:27:30.349, 17 %, 3 %, [N/A], 0
2025/05/31 21:27:35.375, 27 %, 6 %, [N/A], 0
2025/05/31 21:27:40.454, 23 %, 5 %, [N/A], 0
2025/05/31 21:27:45.491, 17 %, 5 %, [N/A], 0
2025/05/31 21:27:50.512, 21 %, 5 %, [N/A], 0
2025/05/31 21:27:55.897, 23 %, 5 %, [N/A], 0
2025/05/31 21:28:00.933, 21 %, 5 %, [N/A], 0
2025/05/31 21:28:06.042, 17 %, 4 %, [N/A], 0
2025/05/31 21:28:11.211, 20 %, 5 %, [N/A], 0
2025/05/31 21:28:16.264, 20 %, 5 %, [N/A], 0
2025/05/31 21:28:21.402, 19 %, 4 %, [N/A], 0
2025/05/31 21:28:26.489, 21 %, 5 %, [N/A], 0
2025/05/31 21:28:31.585, 21 %, 5 %, [N/A], 0
2025/05/31 21:28:36.661, 20 %, 5 %, [N/A], 0
2025/05/31 21:28:41.666, 19 %, 5 %, [N/A], 0
2025/05/31 21:28:46.710, 22 %, 5 %, [N/A], 0
2025/05/31 21:28:51.740, 14 %, 3 %, [N/A], 0
2025/05/31 21:28:56.759, 25 %, 3 %, [N/A], 0
2025/05/31 21:29:01.933, 14 %, 4 %, [N/A], 0
2025/05/31 21:29:07.129, 23 %, 5 %, [N/A], 0
2025/05/31 21:29:12.239, 24 %, 6 %, [N/A], 0
2025/05/31 21:29:17.481, 22 %, 5 %, [N/A], 0
2025/05/31 21:29:22.527, 23 %, 5 %, [N/A], 0
2025/05/31 21:29:27.644, 20 %, 5 %, [N/A], 0
2025/05/31 21:29:32.696, 21 %, 5 %, [N/A], 0
2025/05/31 21:29:37.731, 17 %, 3 %, [N/A], 0
2025/05/31 21:29:43.115, 6 %, 1 %, [N/A], 0
2025/05/31 21:29:48.326, 12 %, 2 %, [N/A], 0
2025/05/31 21:29:53.342, 17 %, 4 %, [N/A], 0
2025/05/31 21:29:58.359, 20 %, 5 %, [N/A], 0
2025/05/31 21:30:03.426, 19 %, 5 %, [N/A], 0
2025/05/31 21:30:08.438, 22 %, 5 %, [N/A], 0
2025/05/31 21:30:13.457, 19 %, 5 %, [N/A], 0
2025/05/31 21:30:18.491, 19 %, 4 %, [N/A], 0
2025/05/31 21:30:23.515, 20 %, 5 %, [N/A], 0
2025/05/31 21:30:28.541, 19 %, 5 %, [N/A], 0
2025/05/31 21:30:33.580, 18 %, 4 %, [N/A], 0
2025/05/31 21:30:38.627, 19 %, 5 %, [N/A], 0
2025/05/31 21:30:43.649, 19 %, 4 %, [N/A], 0
2025/05/31 21:30:48.685, 18 %, 4 %, [N/A], 0
2025/05/31 21:30:54.024, 13 %, 2 %, [N/A], 0
2025/05/31 21:30:59.119, 18 %, 1 %, [N/A], 0
2025/05/31 21:31:04.266, 20 %, 2 %, [N/A], 0
2025/05/31 21:31:09.302, 14 %, 2 %, [N/A], 0
2025/05/31 21:31:14.305, 0 %, 0 %, [N/A], 0
2025/05/31 21:31:19.308, 0 %, 0 %, [N/A], 0
2025/05/31 21:31:24.311, 0 %, 0 %, [N/A], 0
2025/05/31 21:31:29.317, 0 %, 0 %, [N/A], 0
